1 1.83 -2.05
1 -0.65 -1.02
1 -0.02 -1.45
1 -0.79 -1.11
1 -1.17 -0.52
1 -0.99 -1.43
1 0.29 -1.94
1 -1.44 -1.33
1 0.35 0.2
1 -1.56 -0.28
1 1.63 -0.88
1 -1.67 -1.55
1 -0.97 -0.66
1 -0.8 -0.15
1 -0.51 -1.2
1 -0.25 -0.92
1 1.48 0.91
1 -1.29 -1.16
1 2.01 -0.22
1 -0.72 -1.96
1 -1.19 0.45
1 -0.33 -2.4
1 0.35 -1.18
1 -2.13 -2.04
1 -2.46 0.23
1 -1.61 -2.11
1 -1.33 1.1
1 -1.36 -1.64
1 -1.64 1.05
1 -1.51 -1.54
1 -1.32 -1.38
1 -1.98 -2.44
1 -1.05 -1.76
1 0.12 0.79
1 -1.26 0.15
1 -0.1 -0.19
1 0.22 0.88
1 -0.01 -2.25
1 -1.03 -1.75
1 -1.78 -2.36
1 -0.41 -0.3
1 0.8 1.52
1 -0.6 -1.44
1 0.55 1.72
1 -0.54 -2.4
1 -0.05 -4.53
1 -1.72 -0.86
1 0.79 -0.78
1 -2.18 -1.32
1 -2.19 0.99
2 4.41 3.7
2 5.32 5.03
2 7.15 3.9
2 6.93 3.53
2 6.4 4.02
2 5.39 1.52
2 6.33 4.61
2 7.54 3.41
2 7.17 4.47
2 5.32 3.88
2 6.53 3.41
2 5.29 4.3
2 5.29 3.66
2 6.6 2.87
2 7.46 3.93
2 5.22 5.23
2 6.21 3.41
2 5.97 3.83
2 6.56 4.42
2 4.73 5.22
2 7.07 3.51
2 7.13 3.75
2 8.6 4.09
2 6.62 4.53
2 4.85 6.64
2 6.15 4.48
2 6.41 3.92
2 7.02 3.84
2 6.74 4.38
2 8.13 3.5
3 -1.91 8.75
3 -1.43 8.67
3 -0.29 8.09
3 0.02 9.57
3 -3.31 7.55
3 -1.67 7.54
3 -2.64 6.93
3 -2.41 7.24
3 -0.8 7.05
3 -2.97 8.58
3 -2.43 6.23
3 -1.94 7.01
3 0.01 6.27
3 -2.56 8.49
3 -1.47 8.11
3 -1.14 8.67
3 0.35 7.63
3 -1.74 9.26
3 -1.3 5.87
3 -2.06 8.48
