1 -2.81 0.72
1 1.08 -2.48
1 -1.99 -1.76
1 0.28 -0.31
1 -4.93 -0.1
1 2.95 -1.52
1 -1.32 -0.97
1 -2.91 -0.04
1 0.85 -1.2
1 -2 0.15
1 -11.94 -1.7
1 4.85 -0.56
1 -6.37 -1.21
1 -5.43 -1.89
1 0.35 -0.74
1 2.1 -1.99
1 1.26 -2.93
1 8.15 -0.94
1 -9.75 -1.21
1 -3.33 -1.73
1 0.59 -2.23
1 2.93 -1.5
1 -8.33 -0.96
1 2.19 -1.59
1 -9.1 0.27
1 -1.91 -1.59
1 13.67 -1.57
1 10.02 -1.01
1 -10.11 -1.11
1 -6.46 -0.75
1 1.45 -1.33
1 -4.76 -0.8
1 2.88 -0.11
1 -16.37 -0.36
1 -10.73 -0.35
1 -3.84 1.78
1 -7.9 -1.16
1 -5.99 0.3
1 -6.94 -1.39
1 -2.01 0.25
1 -0.39 -0.26
1 -14.16 -1.08
1 -2.86 -0.51
1 1.15 -0.53
1 2.65 -0.68
1 -1.6 -1.34
1 1.23 -0.28
1 -4.08 -1.23
1 5.58 -2.15
1 -5.26 -0.31
2 7.66 5.22
2 4.47 3.3
2 -0.16 5.04
2 7.38 4.74
2 8.75 3.59
2 0.16 2.6
2 3.6 3.24
2 6.47 5.08
2 12.83 4.49
2 10.68 1.7
2 7.48 5.04
2 4.58 4.72
2 10.48 4.85
2 15.14 3.08
2 8.67 3.27
2 5.61 3.83
2 5.43 5.01
2 6.32 4.08
2 5.4 3.85
2 6.55 4.94
2 2.33 3.9
2 6.43 4.88
2 6.61 2.87
2 12.75 3.75
2 1.1 4.96
2 13.97 3.63
2 7.26 5.36
2 5.46 3.13
2 0.85 3.91
2 1.42 3.24
3 2.65 8.39
3 -8.32 8.11
3 -0.38 7.66
3 -10.19 6.94
3 -7.59 8.49
3 -2.47 8.61
3 -10.74 8.06
3 -10.68 7.36
3 1.4 6.95
3 -7.51 8.64
3 2.64 9.39
3 -2.39 7.87
3 -6.54 8.8
3 -0.9 8.51
3 1.23 6.73
3 -2.22 9.69
3 -2.49 7.05
3 4.71 9.18
3 -2.46 6.74
3 -3.66 9.15
